max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,condition,subject,gesture
204,45,114.21,105.5,2676.894848,443,11421,4.365384615,3.692307692,4.09684382,4.15942029,0.0383426188,2.914154788,409.684382,3.625,2.91011236,3.244182685,3.306818182,0.04374897077,2.320624596,324.4182685,flat,P3,slide
162,30,112.64,119.5,1421.101414,322,11264,4.874015748,3.936507937,4.466877921,4.519927723,0.06997257477,3.684205564,446.6877921,3.833333333,2.98,3.229840527,3.180687112,0.03183083921,2.702454835,322.9840527,flat,P3,tap
204,38,108.73,94.5,2705.451616,405,10873,4.516483516,3.433628319,4.13140272,4.214141414,0.09063582825,3.994208937,413.140272,4.037735849,2.954545455,3.554643857,3.519484024,0.06631088899,3.432673826,355.4643857,flat,P3,tap
198,59,125.55,131,1817.179293,417,12555,4.284916201,3.717948718,4.017704789,3.996542399,0.02580250493,2.637649427,401.7704789,3.736842105,2.993506494,3.3075889,3.274309066,0.02629667588,2.308847552,330.75889,flat,P3,tap
204,45,114.21,105.5,2676.894848,443,11421,4.365384615,3.692307692,4.09684382,4.15942029,0.0383426188,2.914154788,409.684382,3.625,2.91011236,3.244182685,3.306818182,0.04374897077,2.320624596,324.4182685,flat,P3,tap
162,30,112.64,119.5,1421.101414,322,11264,4.874015748,3.936507937,4.466877921,4.519927723,0.06997257477,3.684205564,446.6877921,3.833333333,2.98,3.229840527,3.180687112,0.03183083921,2.702454835,322.9840527,flat,P3,twist
204,38,108.73,94.5,2705.451616,405,10873,4.516483516,3.433628319,4.13140272,4.214141414,0.09063582825,3.994208937,413.140272,4.037735849,2.954545455,3.554643857,3.519484024,0.06631088899,3.432673826,355.4643857,flat,P3,twist
198,59,125.55,131,1817.179293,417,12555,4.284916201,3.717948718,4.017704789,3.996542399,0.02580250493,2.637649427,401.7704789,3.736842105,2.993506494,3.3075889,3.274309066,0.02629667588,2.308847552,330.75889,flat,P3,twist
204,45,114.21,105.5,2676.894848,443,11421,4.365384615,3.692307692,4.09684382,4.15942029,0.0383426188,2.914154788,409.684382,3.625,2.91011236,3.244182685,3.306818182,0.04374897077,2.320624596,324.4182685,flat,P3,twist
162,30,112.64,119.5,1421.101414,322,11264,4.874015748,3.936507937,4.466877921,4.519927723,0.06997257477,3.684205564,446.6877921,3.833333333,2.98,3.229840527,3.180687112,0.03183083921,2.702454835,322.9840527,flat,P3,type
204,38,108.73,94.5,2705.451616,405,10873,4.516483516,3.433628319,4.13140272,4.214141414,0.09063582825,3.994208937,413.140272,4.037735849,2.954545455,3.554643857,3.519484024,0.06631088899,3.432673826,355.4643857,flat,P3,type
198,59,125.55,131,1817.179293,417,12555,4.284916201,3.717948718,4.017704789,3.996542399,0.02580250493,2.637649427,401.7704789,3.736842105,2.993506494,3.3075889,3.274309066,0.02629667588,2.308847552,330.75889,flat,P3,type
204,45,114.21,105.5,2676.894848,443,11421,4.365384615,3.692307692,4.09684382,4.15942029,0.0383426188,2.914154788,409.684382,3.625,2.91011236,3.244182685,3.306818182,0.04374897077,2.320624596,324.4182685,flat,P3,type
162,30,112.64,119.5,1421.101414,322,11264,4.874015748,3.936507937,4.466877921,4.519927723,0.06997257477,3.684205564,446.6877921,3.833333333,2.98,3.229840527,3.180687112,0.03183083921,2.702454835,322.9840527,flat,P4,constant
204,38,108.73,94.5,2705.451616,405,10873,4.516483516,3.433628319,4.13140272,4.214141414,0.09063582825,3.994208937,413.140272,4.037735849,2.954545455,3.554643857,3.519484024,0.06631088899,3.432673826,355.4643857,flat,P4,constant
198,59,125.55,131,1817.179293,417,12555,4.284916201,3.717948718,4.017704789,3.996542399,0.02580250493,2.637649427,401.7704789,3.736842105,2.993506494,3.3075889,3.274309066,0.02629667588,2.308847552,330.75889,flat,P4,constant
204,45,114.21,105.5,2676.894848,443,11421,4.365384615,3.692307692,4.09684382,4.15942029,0.0383426188,2.914154788,409.684382,3.625,2.91011236,3.244182685,3.306818182,0.04374897077,2.320624596,324.4182685,flat,P4,constant
162,30,112.64,119.5,1421.101414,322,11264,4.874015748,3.936507937,4.466877921,4.519927723,0.06997257477,3.684205564,446.6877921,3.833333333,2.98,3.229840527,3.180687112,0.03183083921,2.702454835,322.9840527,flat,P4,drag
204,38,108.73,94.5,2705.451616,405,10873,4.516483516,3.433628319,4.13140272,4.214141414,0.09063582825,3.994208937,413.140272,4.037735849,2.954545455,3.554643857,3.519484024,0.06631088899,3.432673826,355.4643857,flat,P4,drag
198,59,125.55,131,1817.179293,417,12555,4.284916201,3.717948718,4.017704789,3.996542399,0.02580250493,2.637649427,401.7704789,3.736842105,2.993506494,3.3075889,3.274309066,0.02629667588,2.308847552,330.75889,flat,P4,drag
204,45,114.21,105.5,2676.894848,443,11421,4.365384615,3.692307692,4.09684382,4.15942029,0.0383426188,2.914154788,409.684382,3.625,2.91011236,3.244182685,3.306818182,0.04374897077,2.320624596,324.4182685,flat,P4,drag
162,30,112.64,119.5,1421.101414,322,11264,4.874015748,3.936507937,4.466877921,4.519927723,0.06997257477,3.684205564,446.6877921,3.833333333,2.98,3.229840527,3.180687112,0.03183083921,2.702454835,322.9840527,flat,P4,fist
204,38,108.73,94.5,2705.451616,405,10873,4.516483516,3.433628319,4.13140272,4.214141414,0.09063582825,3.994208937,413.140272,4.037735849,2.954545455,3.554643857,3.519484024,0.06631088899,3.432673826,355.4643857,flat,P4,fist
198,59,125.55,131,1817.179293,417,12555,4.284916201,3.717948718,4.017704789,3.996542399,0.02580250493,2.637649427,401.7704789,3.736842105,2.993506494,3.3075889,3.274309066,0.02629667588,2.308847552,330.75889,flat,P4,fist
204,45,114.21,105.5,2676.894848,443,11421,4.365384615,3.692307692,4.09684382,4.15942029,0.0383426188,2.914154788,409.684382,3.625,2.91011236,3.244182685,3.306818182,0.04374897077,2.320624596,324.4182685,flat,P4,fist
162,30,112.64,119.5,1421.101414,322,11264,4.874015748,3.936507937,4.466877921,4.519927723,0.06997257477,3.684205564,446.6877921,3.833333333,2.98,3.229840527,3.180687112,0.03183083921,2.702454835,322.9840527,flat,P4,karate
204,38,108.73,94.5,2705.451616,405,10873,4.516483516,3.433628319,4.13140272,4.214141414,0.09063582825,3.994208937,413.140272,4.037735849,2.954545455,3.554643857,3.519484024,0.06631088899,3.432673826,355.4643857,flat,P4,karate
198,59,125.55,131,1817.179293,417,12555,4.284916201,3.717948718,4.017704789,3.996542399,0.02580250493,2.637649427,401.7704789,3.736842105,2.993506494,3.3075889,3.274309066,0.02629667588,2.308847552,330.75889,flat,P4,karate
204,45,114.21,105.5,2676.894848,443,11421,4.365384615,3.692307692,4.09684382,4.15942029,0.0383426188,2.914154788,409.684382,3.625,2.91011236,3.244182685,3.306818182,0.04374897077,2.320624596,324.4182685,flat,P4,karate
162,30,112.64,119.5,1421.101414,322,11264,4.874015748,3.936507937,4.466877921,4.519927723,0.06997257477,3.684205564,446.6877921,3.833333333,2.98,3.229840527,3.180687112,0.03183083921,2.702454835,322.9840527,flat,P4,knead
204,38,108.73,94.5,2705.451616,405,10873,4.516483516,3.433628319,4.13140272,4.214141414,0.09063582825,3.994208937,413.140272,4.037735849,2.954545455,3.554643857,3.519484024,0.06631088899,3.432673826,355.4643857,flat,P4,knead
198,59,125.55,131,1817.179293,417,12555,4.284916201,3.717948718,4.017704789,3.996542399,0.02580250493,2.637649427,401.7704789,3.736842105,2.993506494,3.3075889,3.274309066,0.02629667588,2.308847552,330.75889,flat,P4,knead
204,45,114.21,105.5,2676.894848,443,11421,4.365384615,3.692307692,4.09684382,4.15942029,0.0383426188,2.914154788,409.684382,3.625,2.91011236,3.244182685,3.306818182,0.04374897077,2.320624596,324.4182685,flat,P4,knead
162,30,112.64,119.5,1421.101414,322,11264,4.874015748,3.936507937,4.466877921,4.519927723,0.06997257477,3.684205564,446.6877921,3.833333333,2.98,3.229840527,3.180687112,0.03183083921,2.702454835,322.9840527,flat,P4,massage
204,38,108.73,94.5,2705.451616,405,10873,4.516483516,3.433628319,4.13140272,4.214141414,0.09063582825,3.994208937,413.140272,4.037735849,2.954545455,3.554643857,3.519484024,0.06631088899,3.432673826,355.4643857,flat,P4,massage
198,59,125.55,131,1817.179293,417,12555,4.284916201,3.717948718,4.017704789,3.996542399,0.02580250493,2.637649427,401.7704789,3.736842105,2.993506494,3.3075889,3.274309066,0.02629667588,2.308847552,330.75889,flat,P4,massage
204,45,114.21,105.5,2676.894848,443,11421,4.365384615,3.692307692,4.09684382,4.15942029,0.0383426188,2.914154788,409.684382,3.625,2.91011236,3.244182685,3.306818182,0.04374897077,2.320624596,324.4182685,flat,P4,massage
162,30,112.64,119.5,1421.101414,322,11264,4.874015748,3.936507937,4.466877921,4.519927723,0.06997257477,3.684205564,446.6877921,3.833333333,2.98,3.229840527,3.180687112,0.03183083921,2.702454835,322.9840527,flat,P4,no
204,38,108.73,94.5,2705.451616,405,10873,4.516483516,3.433628319,4.13140272,4.214141414,0.09063582825,3.994208937,413.140272,4.037735849,2.954545455,3.554643857,3.519484024,0.06631088899,3.432673826,355.4643857,flat,P4,no
198,59,125.55,131,1817.179293,417,12555,4.284916201,3.717948718,4.017704789,3.996542399,0.02580250493,2.637649427,401.7704789,3.736842105,2.993506494,3.3075889,3.274309066,0.02629667588,2.308847552,330.75889,flat,P4,no
204,45,114.21,105.5,2676.894848,443,11421,4.365384615,3.692307692,4.09684382,4.15942029,0.0383426188,2.914154788,409.684382,3.625,2.91011236,3.244182685,3.306818182,0.04374897077,2.320624596,324.4182685,flat,P4,no
162,30,112.64,119.5,1421.101414,322,11264,4.874015748,3.936507937,4.466877921,4.519927723,0.06997257477,3.684205564,446.6877921,3.833333333,2.98,3.229840527,3.180687112,0.03183083921,2.702454835,322.9840527,flat,P4,pat
204,38,108.73,94.5,2705.451616,405,10873,4.516483516,3.433628319,4.13140272,4.214141414,0.09063582825,3.994208937,413.140272,4.037735849,2.954545455,3.554643857,3.519484024,0.06631088899,3.432673826,355.4643857,flat,P4,pat
198,59,125.55,131,1817.179293,417,12555,4.284916201,3.717948718,4.017704789,3.996542399,0.02580250493,2.637649427,401.7704789,3.736842105,2.993506494,3.3075889,3.274309066,0.02629667588,2.308847552,330.75889,flat,P4,pat
204,45,114.21,105.5,2676.894848,443,11421,4.365384615,3.692307692,4.09684382,4.15942029,0.0383426188,2.914154788,409.684382,3.625,2.91011236,3.244182685,3.306818182,0.04374897077,2.320624596,324.4182685,flat,P4,pat
162,30,112.64,119.5,1421.101414,322,11264,4.874015748,3.936507937,4.466877921,4.519927723,0.06997257477,3.684205564,446.6877921,3.833333333,2.98,3.229840527,3.180687112,0.03183083921,2.702454835,322.9840527,flat,P4,pinch
204,38,108.73,94.5,2705.451616,405,10873,4.516483516,3.433628319,4.13140272,4.214141414,0.09063582825,3.994208937,413.140272,4.037735849,2.954545455,3.554643857,3.519484024,0.06631088899,3.432673826,355.4643857,flat,P4,pinch
198,59,125.55,131,1817.179293,417,12555,4.284916201,3.717948718,4.017704789,3.996542399,0.02580250493,2.637649427,401.7704789,3.736842105,2.993506494,3.3075889,3.274309066,0.02629667588,2.308847552,330.75889,flat,P4,pinch
204,45,114.21,105.5,2676.894848,443,11421,4.365384615,3.692307692,4.09684382,4.15942029,0.0383426188,2.914154788,409.684382,3.625,2.91011236,3.244182685,3.306818182,0.04374897077,2.320624596,324.4182685,flat,P4,pinch
162,30,112.64,119.5,1421.101414,322,11264,4.874015748,3.936507937,4.466877921,4.519927723,0.06997257477,3.684205564,446.6877921,3.833333333,2.98,3.229840527,3.180687112,0.03183083921,2.702454835,322.9840527,flat,P4,poke
204,38,108.73,94.5,2705.451616,405,10873,4.516483516,3.433628319,4.13140272,4.214141414,0.09063582825,3.994208937,413.140272,4.037735849,2.954545455,3.554643857,3.519484024,0.06631088899,3.432673826,355.4643857,flat,P4,poke
198,59,125.55,131,1817.179293,417,12555,4.284916201,3.717948718,4.017704789,3.996542399,0.02580250493,2.637649427,401.7704789,3.736842105,2.993506494,3.3075889,3.274309066,0.02629667588,2.308847552,330.75889,flat,P4,poke
204,45,114.21,105.5,2676.894848,443,11421,4.365384615,3.692307692,4.09684382,4.15942029,0.0383426188,2.914154788,409.684382,3.625,2.91011236,3.244182685,3.306818182,0.04374897077,2.320624596,324.4182685,flat,P4,poke
162,30,112.64,119.5,1421.101414,322,11264,4.874015748,3.936507937,4.466877921,4.519927723,0.06997257477,3.684205564,446.6877921,3.833333333,2.98,3.229840527,3.180687112,0.03183083921,2.702454835,322.9840527,flat,P4,press
204,38,108.73,94.5,2705.451616,405,10873,4.516483516,3.433628319,4.13140272,4.214141414,0.09063582825,3.994208937,413.140272,4.037735849,2.954545455,3.554643857,3.519484024,0.06631088899,3.432673826,355.4643857,flat,P4,press
198,59,125.55,131,1817.179293,417,12555,4.284916201,3.717948718,4.017704789,3.996542399,0.02580250493,2.637649427,401.7704789,3.736842105,2.993506494,3.3075889,3.274309066,0.02629667588,2.308847552,330.75889,flat,P4,press
204,45,114.21,105.5,2676.894848,443,11421,4.365384615,3.692307692,4.09684382,4.15942029,0.0383426188,2.914154788,409.684382,3.625,2.91011236,3.244182685,3.306818182,0.04374897077,2.320624596,324.4182685,flat,P4,press
162,30,112.64,119.5,1421.101414,322,11264,4.874015748,3.936507937,4.466877921,4.519927723,0.06997257477,3.684205564,446.6877921,3.833333333,2.98,3.229840527,3.180687112,0.03183083921,2.702454835,322.9840527,flat,P4,rub
204,38,108.73,94.5,2705.451616,405,10873,4.516483516,3.433628319,4.13140272,4.214141414,0.09063582825,3.994208937,413.140272,4.037735849,2.954545455,3.554643857,3.519484024,0.06631088899,3.432673826,355.4643857,flat,P4,rub
198,59,125.55,131,1817.179293,417,12555,4.284916201,3.717948718,4.017704789,3.996542399,0.02580250493,2.637649427,401.7704789,3.736842105,2.993506494,3.3075889,3.274309066,0.02629667588,2.308847552,330.75889,flat,P4,rub
204,45,114.21,105.5,2676.894848,443,11421,4.365384615,3.692307692,4.09684382,4.15942029,0.0383426188,2.914154788,409.684382,3.625,2.91011236,3.244182685,3.306818182,0.04374897077,2.320624596,324.4182685,flat,P4,rub
162,30,112.64,119.5,1421.101414,322,11264,4.874015748,3.936507937,4.466877921,4.519927723,0.06997257477,3.684205564,446.6877921,3.833333333,2.98,3.229840527,3.180687112,0.03183083921,2.702454835,322.9840527,flat,P4,scratch
204,38,108.73,94.5,2705.451616,405,10873,4.516483516,3.433628319,4.13140272,4.214141414,0.09063582825,3.994208937,413.140272,4.037735849,2.954545455,3.554643857,3.519484024,0.06631088899,3.432673826,355.4643857,flat,P4,scratch
198,59,125.55,131,1817.179293,417,12555,4.284916201,3.717948718,4.017704789,3.996542399,0.02580250493,2.637649427,401.7704789,3.736842105,2.993506494,3.3075889,3.274309066,0.02629667588,2.308847552,330.75889,flat,P4,scratch
204,45,114.21,105.5,2676.894848,443,11421,4.365384615,3.692307692,4.09684382,4.15942029,0.0383426188,2.914154788,409.684382,3.625,2.91011236,3.244182685,3.306818182,0.04374897077,2.320624596,324.4182685,flat,P4,scratch
162,30,112.64,119.5,1421.101414,322,11264,4.874015748,3.936507937,4.466877921,4.519927723,0.06997257477,3.684205564,446.6877921,3.833333333,2.98,3.229840527,3.180687112,0.03183083921,2.702454835,322.9840527,flat,P4,slide
204,38,108.73,94.5,2705.451616,405,10873,4.516483516,3.433628319,4.13140272,4.214141414,0.09063582825,3.994208937,413.140272,4.037735849,2.954545455,3.554643857,3.519484024,0.06631088899,3.432673826,355.4643857,flat,P4,slide
198,59,125.55,131,1817.179293,417,12555,4.284916201,3.717948718,4.017704789,3.996542399,0.02580250493,2.637649427,401.7704789,3.736842105,2.993506494,3.3075889,3.274309066,0.02629667588,2.308847552,330.75889,flat,P4,slide
204,45,114.21,105.5,2676.894848,443,11421,4.365384615,3.692307692,4.09684382,4.15942029,0.0383426188,2.914154788,409.684382,3.625,2.91011236,3.244182685,3.306818182,0.04374897077,2.320624596,324.4182685,flat,P4,slide
162,30,112.64,119.5,1421.101414,322,11264,4.874015748,3.936507937,4.466877921,4.519927723,0.06997257477,3.684205564,446.6877921,3.833333333,2.98,3.229840527,3.180687112,0.03183083921,2.702454835,322.9840527,flat,P4,tap
204,38,108.73,94.5,2705.451616,405,10873,4.516483516,3.433628319,4.13140272,4.214141414,0.09063582825,3.994208937,413.140272,4.037735849,2.954545455,3.554643857,3.519484024,0.06631088899,3.432673826,355.4643857,flat,P4,tap
198,59,125.55,131,1817.179293,417,12555,4.284916201,3.717948718,4.017704789,3.996542399,0.02580250493,2.637649427,401.7704789,3.736842105,2.993506494,3.3075889,3.274309066,0.02629667588,2.308847552,330.75889,flat,P4,tap
204,45,114.21,105.5,2676.894848,443,11421,4.365384615,3.692307692,4.09684382,4.15942029,0.0383426188,2.914154788,409.684382,3.625,2.91011236,3.244182685,3.306818182,0.04374897077,2.320624596,324.4182685,flat,P4,tap
162,30,112.64,119.5,1421.101414,322,11264,4.874015748,3.936507937,4.466877921,4.519927723,0.06997257477,3.684205564,446.6877921,3.833333333,2.98,3.229840527,3.180687112,0.03183083921,2.702454835,322.9840527,flat,P4,twist
204,38,108.73,94.5,2705.451616,405,10873,4.516483516,3.433628319,4.13140272,4.214141414,0.09063582825,3.994208937,413.140272,4.037735849,2.954545455,3.554643857,3.519484024,0.06631088899,3.432673826,355.4643857,flat,P4,twist
198,59,125.55,131,1817.179293,417,12555,4.284916201,3.717948718,4.017704789,3.996542399,0.02580250493,2.637649427,401.7704789,3.736842105,2.993506494,3.3075889,3.274309066,0.02629667588,2.308847552,330.75889,flat,P4,twist
204,45,114.21,105.5,2676.894848,443,11421,4.365384615,3.692307692,4.09684382,4.15942029,0.0383426188,2.914154788,409.684382,3.625,2.91011236,3.244182685,3.306818182,0.04374897077,2.320624596,324.4182685,flat,P4,twist
162,30,112.64,119.5,1421.101414,322,11264,4.874015748,3.936507937,4.466877921,4.519927723,0.06997257477,3.684205564,446.6877921,3.833333333,2.98,3.229840527,3.180687112,0.03183083921,2.702454835,322.9840527,flat,P4,type
204,38,108.73,94.5,2705.451616,405,10873,4.516483516,3.433628319,4.13140272,4.214141414,0.09063582825,3.994208937,413.140272,4.037735849,2.954545455,3.554643857,3.519484024,0.06631088899,3.432673826,355.4643857,flat,P4,type
198,59,125.55,131,1817.179293,417,12555,4.284916201,3.717948718,4.017704789,3.996542399,0.02580250493,2.637649427,401.7704789,3.736842105,2.993506494,3.3075889,3.274309066,0.02629667588,2.308847552,330.75889,flat,P4,type
204,45,114.21,105.5,2676.894848,443,11421,4.365384615,3.692307692,4.09684382,4.15942029,0.0383426188,2.914154788,409.684382,3.625,2.91011236,3.244182685,3.306818182,0.04374897077,2.320624596,324.4182685,flat,P4,type
162,30,112.64,119.5,1421.101414,322,11264,4.874015748,3.936507937,4.466877921,4.519927723,0.06997257477,3.684205564,446.6877921,3.833333333,2.98,3.229840527,3.180687112,0.03183083921,2.702454835,322.9840527,flat,P5,constant
204,38,108.73,94.5,2705.451616,405,10873,4.516483516,3.433628319,4.13140272,4.214141414,0.09063582825,3.994208937,413.140272,4.037735849,2.954545455,3.554643857,3.519484024,0.06631088899,3.432673826,355.4643857,flat,P5,constant
198,59,125.55,131,1817.179293,417,12555,4.284916201,3.717948718,4.017704789,3.996542399,0.02580250493,2.637649427,401.7704789,3.736842105,2.993506494,3.3075889,3.274309066,0.02629667588,2.308847552,330.75889,flat,P5,constant
204,45,114.21,105.5,2676.894848,443,11421,4.365384615,3.692307692,4.09684382,4.15942029,0.0383426188,2.914154788,409.684382,3.625,2.91011236,3.244182685,3.306818182,0.04374897077,2.320624596,324.4182685,flat,P5,constant
162,30,112.64,119.5,1421.101414,322,11264,4.874015748,3.936507937,4.466877921,4.519927723,0.06997257477,3.684205564,446.6877921,3.833333333,2.98,3.229840527,3.180687112,0.03183083921,2.702454835,322.9840527,flat,P5,drag
204,38,108.73,94.5,2705.451616,405,10873,4.516483516,3.433628319,4.13140272,4.214141414,0.09063582825,3.994208937,413.140272,4.037735849,2.954545455,3.554643857,3.519484024,0.06631088899,3.432673826,355.4643857,flat,P5,drag
198,59,125.55,131,1817.179293,417,12555,4.284916201,3.717948718,4.017704789,3.996542399,0.02580250493,2.637649427,401.7704789,3.736842105,2.993506494,3.3075889,3.274309066,0.02629667588,2.308847552,330.75889,flat,P5,drag
204,45,114.21,105.5,2676.894848,443,11421,4.365384615,3.692307692,4.09684382,4.15942029,0.0383426188,2.914154788,409.684382,3.625,2.91011236,3.244182685,3.306818182,0.04374897077,2.320624596,324.4182685,flat,P5,drag
162,30,112.64,119.5,1421.101414,322,11264,4.874015748,3.936507937,4.466877921,4.519927723,0.06997257477,3.684205564,446.6877921,3.833333333,2.98,3.229840527,3.180687112,0.03183083921,2.702454835,322.9840527,flat,P5,fist
204,38,108.73,94.5,2705.451616,405,10873,4.516483516,3.433628319,4.13140272,4.214141414,0.09063582825,3.994208937,413.140272,4.037735849,2.954545455,3.554643857,3.519484024,0.06631088899,3.432673826,355.4643857,flat,P5,fist
198,59,125.55,131,1817.179293,417,12555,4.284916201,3.717948718,4.017704789,3.996542399,0.02580250493,2.637649427,401.7704789,3.736842105,2.993506494,3.3075889,3.274309066,0.02629667588,2.308847552,330.75889,flat,P5,fist
204,45,114.21,105.5,2676.894848,443,11421,4.365384615,3.692307692,4.09684382,4.15942029,0.0383426188,2.914154788,409.684382,3.625,2.91011236,3.244182685,3.306818182,0.04374897077,2.320624596,324.4182685,flat,P5,fist
162,30,112.64,119.5,1421.101414,322,11264,4.874015748,3.936507937,4.466877921,4.519927723,0.06997257477,3.684205564,446.6877921,3.833333333,2.98,3.229840527,3.180687112,0.03183083921,2.702454835,322.9840527,flat,P5,fist
204,38,108.73,94.5,2705.451616,405,10873,4.516483516,3.433628319,4.13140272,4.214141414,0.09063582825,3.994208937,413.140272,4.037735849,2.954545455,3.554643857,3.519484024,0.06631088899,3.432673826,355.4643857,flat,P5,fist
198,59,125.55,131,1817.179293,417,12555,4.284916201,3.717948718,4.017704789,3.996542399,0.02580250493,2.637649427,401.7704789,3.736842105,2.993506494,3.3075889,3.274309066,0.02629667588,2.308847552,330.75889,flat,P5,fist
204,45,114.21,105.5,2676.894848,443,11421,4.365384615,3.692307692,4.09684382,4.15942029,0.0383426188,2.914154788,409.684382,3.625,2.91011236,3.244182685,3.306818182,0.04374897077,2.320624596,324.4182685,flat,P5,fist
162,30,112.64,119.5,1421.101414,322,11264,4.874015748,3.936507937,4.466877921,4.519927723,0.06997257477,3.684205564,446.6877921,3.833333333,2.98,3.229840527,3.180687112,0.03183083921,2.702454835,322.9840527,flat,P5,karate
204,38,108.73,94.5,2705.451616,405,10873,4.516483516,3.433628319,4.13140272,4.214141414,0.09063582825,3.994208937,413.140272,4.037735849,2.954545455,3.554643857,3.519484024,0.06631088899,3.432673826,355.4643857,flat,P5,karate
198,59,125.55,131,1817.179293,417,12555,4.284916201,3.717948718,4.017704789,3.996542399,0.02580250493,2.637649427,401.7704789,3.736842105,2.993506494,3.3075889,3.274309066,0.02629667588,2.308847552,330.75889,flat,P5,karate
204,45,114.21,105.5,2676.894848,443,11421,4.365384615,3.692307692,4.09684382,4.15942029,0.0383426188,2.914154788,409.684382,3.625,2.91011236,3.244182685,3.306818182,0.04374897077,2.320624596,324.4182685,flat,P5,karate
162,30,112.64,119.5,1421.101414,322,11264,4.874015748,3.936507937,4.466877921,4.519927723,0.06997257477,3.684205564,446.6877921,3.833333333,2.98,3.229840527,3.180687112,0.03183083921,2.702454835,322.9840527,flat,P5,knead
204,38,108.73,94.5,2705.451616,405,10873,4.516483516,3.433628319,4.13140272,4.214141414,0.09063582825,3.994208937,413.140272,4.037735849,2.954545455,3.554643857,3.519484024,0.06631088899,3.432673826,355.4643857,flat,P5,knead
198,59,125.55,131,1817.179293,417,12555,4.284916201,3.717948718,4.017704789,3.996542399,0.02580250493,2.637649427,401.7704789,3.736842105,2.993506494,3.3075889,3.274309066,0.02629667588,2.308847552,330.75889,flat,P5,knead
204,45,114.21,105.5,2676.894848,443,11421,4.365384615,3.692307692,4.09684382,4.15942029,0.0383426188,2.914154788,409.684382,3.625,2.91011236,3.244182685,3.306818182,0.04374897077,2.320624596,324.4182685,flat,P5,knead
162,30,112.64,119.5,1421.101414,322,11264,4.874015748,3.936507937,4.466877921,4.519927723,0.06997257477,3.684205564,446.6877921,3.833333333,2.98,3.229840527,3.180687112,0.03183083921,2.702454835,322.9840527,flat,P5,massage
204,38,108.73,94.5,2705.451616,405,10873,4.516483516,3.433628319,4.13140272,4.214141414,0.09063582825,3.994208937,413.140272,4.037735849,2.954545455,3.554643857,3.519484024,0.06631088899,3.432673826,355.4643857,flat,P5,massage
198,59,125.55,131,1817.179293,417,12555,4.284916201,3.717948718,4.017704789,3.996542399,0.02580250493,2.637649427,401.7704789,3.736842105,2.993506494,3.3075889,3.274309066,0.02629667588,2.308847552,330.75889,flat,P5,massage
204,45,114.21,105.5,2676.894848,443,11421,4.365384615,3.692307692,4.09684382,4.15942029,0.0383426188,2.914154788,409.684382,3.625,2.91011236,3.244182685,3.306818182,0.04374897077,2.320624596,324.4182685,flat,P5,massage
162,30,112.64,119.5,1421.101414,322,11264,4.874015748,3.936507937,4.466877921,4.519927723,0.06997257477,3.684205564,446.6877921,3.833333333,2.98,3.229840527,3.180687112,0.03183083921,2.702454835,322.9840527,flat,P5,no
204,38,108.73,94.5,2705.451616,405,10873,4.516483516,3.433628319,4.13140272,4.214141414,0.09063582825,3.994208937,413.140272,4.037735849,2.954545455,3.554643857,3.519484024,0.06631088899,3.432673826,355.4643857,flat,P5,no
198,59,125.55,131,1817.179293,417,12555,4.284916201,3.717948718,4.017704789,3.996542399,0.02580250493,2.637649427,401.7704789,3.736842105,2.993506494,3.3075889,3.274309066,0.02629667588,2.308847552,330.75889,flat,P5,no
204,45,114.21,105.5,2676.894848,443,11421,4.365384615,3.692307692,4.09684382,4.15942029,0.0383426188,2.914154788,409.684382,3.625,2.91011236,3.244182685,3.306818182,0.04374897077,2.320624596,324.4182685,flat,P5,no
162,30,112.64,119.5,1421.101414,322,11264,4.874015748,3.936507937,4.466877921,4.519927723,0.06997257477,3.684205564,446.6877921,3.833333333,2.98,3.229840527,3.180687112,0.03183083921,2.702454835,322.9840527,flat,P5,pat
204,38,108.73,94.5,2705.451616,405,10873,4.516483516,3.433628319,4.13140272,4.214141414,0.09063582825,3.994208937,413.140272,4.037735849,2.954545455,3.554643857,3.519484024,0.06631088899,3.432673826,355.4643857,flat,P5,pat
198,59,125.55,131,1817.179293,417,12555,4.284916201,3.717948718,4.017704789,3.996542399,0.02580250493,2.637649427,401.7704789,3.736842105,2.993506494,3.3075889,3.274309066,0.02629667588,2.308847552,330.75889,flat,P5,pat
204,45,114.21,105.5,2676.894848,443,11421,4.365384615,3.692307692,4.09684382,4.15942029,0.0383426188,2.914154788,409.684382,3.625,2.91011236,3.244182685,3.306818182,0.04374897077,2.320624596,324.4182685,flat,P5,pat
162,30,112.64,119.5,1421.101414,322,11264,4.874015748,3.936507937,4.466877921,4.519927723,0.06997257477,3.684205564,446.6877921,3.833333333,2.98,3.229840527,3.180687112,0.03183083921,2.702454835,322.9840527,flat,P5,pinch
204,38,108.73,94.5,2705.451616,405,10873,4.516483516,3.433628319,4.13140272,4.214141414,0.09063582825,3.994208937,413.140272,4.037735849,2.954545455,3.554643857,3.519484024,0.06631088899,3.432673826,355.4643857,flat,P5,pinch
198,59,125.55,131,1817.179293,417,12555,4.284916201,3.717948718,4.017704789,3.996542399,0.02580250493,2.637649427,401.7704789,3.736842105,2.993506494,3.3075889,3.274309066,0.02629667588,2.308847552,330.75889,flat,P5,pinch
